distributionProfile,tipo,R2,sigma,b0,b1,n_munic,b0_desv,b1_desv,factor
a. 90%+ - 1st bracket,RPME: midGeom_topMedian,0.43552795765515295,0.0732692751121624,0.4509521808696212,0.581253615149162,55,0.20335786943106754,0.17534853482564616,-1.6223141316761884
b. 80%+ - 1st bracket,RPME: midGeom_topGeom,0.4056560195768014,0.03482020314264277,0.6098959652890505,0.33955823673650926,253,0.37197308847586275,0.4361833226625887,-1.3551878621670848
c. 70%+ - 1st bracket,MCIB - RPME,0.7223919013424205,0.031103999260620158,0.2715088981483836,0.5655382464410076,317,0.07371708177374933,0.18875701530555467,-1.6130473573504638
d. 60%+ - 1st bracket,MCIB - RPME,0.8575903103183345,0.024594530659885,0.22224872488106112,0.6871588207470597,333,0.0493944957112576,0.09786960343637033,-1.7043747324157341
e. 50%+ - 1st bracket,RPME: midArit_topGeom,0.8965405441410628,0.0258188698493708,0.12274297521091766,0.8344437635948335,304,0.015065837963627949,0.02740886741264337,-1.7759958822932032
f. 90%+ - 2nd bracket,MCIB - RPME,0.9998935284730106,0.0012102139519504385,-0.04318541738613395,1.757904342555025,3,0.0018649802748146004,0.5744189924637646,-1.2295855671191118
g. 80%+ - 2nd bracket,Parabolic: midArit_topHarm,0.8701876391039187,0.021029102638055172,0.16519169012830076,0.7775307874097388,46,0.02728829448744454,0.04949255055053083,-1.753537424513932
h. 70%+ - 2nd bracket,RPME: midArit_topArit,0.8862588016285492,0.026483904236392915,0.0908497749197784,0.911960583481816,275,0.008253681602974397,0.007750938860862295,-1.7959384196681356
i. 60%+ - 2nd bracket,Parabolic: midArit_topGeom,0.9275174332573933,0.021552152214842694,0.12835399669591627,0.8724963825860548,401,0.016474748467815284,0.016257172453641715,-1.7869829762151868
j. 50%+ - 2nd bracket,Parabolic: midArit_topArit,0.9545241371099599,0.01641175750239381,0.10486933196661682,0.9032562878844588,442,0.010997576787124482,0.009359345833894719,-1.7940015221656278
k. 90%+ - 3rd bracket,Splinebins,1,NaN,-0.7450163316159818,5.240337103468165,2,0.5550493343745345,17.980458751048786,16.184683724028986
l. 80%+ - 3rd bracket,MCIB - gpinter,0.9664228193336702,0.019842931299121836,-0.030731032225958178,1.3169139567202053,18,9.4439634167288e-4,0.10043445596405615,-1.7033505670550284
m. 70%+ - 3rd bracket,RPME: midArit_topArit,0.909705694097557,0.02136172397077236,0.06705619294458888,0.9268509936044959,114,0.004496533012221931,0.005350777136649506,-1.7984071443864489
n. 60%+ - 3rd bracket,Parabolic: midArit_topArit,0.9682049637058997,0.013051735698495492,0.07141228613124652,0.9627498561288144,409,0.005099714610491024,0.0013875732184240289,-1.802153061444903
o. 50%+ - 3rd bracket,MCIB - RPME,0.9651650971210705,0.014297080748259921,0.03850231233148827,0.9833670983740856,500,0.0014824280548714737,2.7665341649734434e-4,-1.8034143980986934
p. well distributed,MCIB - RPME,0.9784008850869627,0.011400293380224243,0.0286190516895025,0.9949461963966588,480,8.190501196064159e-4,2.5540930861144276e-5,-1.8036481030112828
